iter	Passed	Remaining
590	12675	30219
591	12696	30197
592	12716	30173
593	12737	30150
594	12758	30127
595	12780	30107
596	12803	30088
597	12823	30064
598	12846	30046
599	12867	30023
600	12889	30003
601	12909	29978
602	12928	29952
603	12951	29933
604	12972	29910
605	12994	29891
606	13017	29872
607	13037	29849
608	13060	29831
609	13081	29809
610	13102	29786
611	13124	29766
612	13142	29736
613	13164	29716
614	13184	29691
615	13205	29668
616	13225	29645
617	13245	29619
618	13267	29599
619	13288	29576
620	13310	29557
621	13333	29538
622	13355	29518
623	13376	29496
624	13398	29476
625	13419	29454
626	13438	29427
627	13459	29404
628	13479	29381
629	13501	29361
630	13524	29341
631	13546	29321
632	13566	29297
633	13588	29276
634	13608	29252
635	13628	29228
636	13649	29205
637	13672	29187
638	13693	29165
639	13715	29146
640	13737	29125
641	13759	29105
642	13781	29084
643	13802	29062
644	13823	29040
645	13843	29015
646	13865	28994
647	13885	28971
648	13908	28952
649	13929	28931
650	13951	28909
651	13971	28886
652	13993	28865
653	14015	28844
654	14036	28822
655	14058	28802
656	14078	28777
657	14095	28748
658	14115	28724
659	14137	28702
660	14158	28680
661	14179	28659
662	14199	28635
663	14221	28613
664	14244	28596
665	14265	28574
666	14287	28553
667	14308	28531
668	14331	28512
669	14352	28490
670	14373	28469
671	14394	28447
672	14417	28427
673	14437	28404
674	14459	28383
675	14478	28357
676	14497	28330
677	14519	28310
678	14541	28290
679	14561	28266
680	14583	28246
681	14604	28223
682	14626	28203
683	14647	28181
684	14666	28154
685	14688	28134
686	14712	28117
687	14733	28096
688	14755	28077
689	14778	28056
690	14798	28033
691	14817	28008
692	14837	27984
693	14858	27962
694	14881	27943
695	14902	27920
696	14921	27895
697	14941	27870
698	14961	27847
699	14982	27825
700	15002	27800
701	15025	27781
702	15047	27761
703	15067	27737
704	15089	27717
705	15110	27694
706	15132	27674
707	15152	27650
708	15173	27629
709	15197	27613
710	15217	27588
711	15239	27567
712	15259	27544
713	15281	27523
714	15300	27498
715	15319	27472
716	15341	27451
717	15361	27428
718	15382	27406
719	15403	27383
720	15423	27360
721	15443	27335
722	15463	27311
723	15483	27288
724	15505	27268
725	15524	27243
726	15547	27223
727	15568	27202
728	15590	27182
729	15614	27165
730	15637	27146
731	15659	27125
732	15680	27103
733	15703	27085
734	15724	27062
735	15746	27042
736	15765	27018
737	15789	27000
738	15808	26975
739	15829	26953
740	15850	26931
741	15871	26909
742	15898	26896
743	15924	26882
744	15945	26861
745	15967	26841
746	15991	26823
747	16012	26801
748	16032	26777
749	16054	26756
750	16075	26734
751	16096	26712
752	16118	26692
753	16141	26674
754	16160	26649
755	16183	26630
756	16205	26608
757	16225	26585
758	16246	26564
759	16269	26545
760	16291	26525
761	16312	26502
762	16334	26481
763	16354	26457
764	16376	26438
765	16397	26416
766	16420	26397
767	16441	26375
768	16461	26351
769	16481	26326
770	16501	26304
771	16524	26285
772	16544	26262
773	16564	26238
774	16584	26214
775	16606	26194
776	16628	26172
777	16648	26149
778	16671	26130
779	16691	26107
780	16713	26087
781	16735	26066
782	16756	26043
783	16780	26026
784	16800	26003
785	16823	25983
786	16843	25960
787	16862	25935
788	16884	25914
789	16904	25891
790	16925	25869
791	16958	25865
792	17000	25875
793	17052	25900
794	17088	25901
795	17108	25878
796	17129	25855
797	17149	25832
798	17178	25822
799	17202	25803
800	17222	25779
801	17246	25761
802	17278	25756
803	17320	25765
804	17369	25784
805	17426	25815
806	17478	25838
807	17534	25867
808	17607	25922
809	17652	25933
810	17722	25983
811	17766	25993
812	17817	26014
813	17870	26037
814	17911	26043
815	17954	26051
816	18010	26078
817	18037	26064
818	18057	26039
819	18079	26016
820	18100	25993
821	18120	25968
822	18141	25945
823	18161	25919
824	18183	25897
825	18202	25871
826	18224	25848
827	18244	25824
828	18264	25799
829	18285	25775
830	18305	25751
831	18325	25726
832	18347	25704
833	18369	25681
834	18389	25657
835	18409	25631
836	18430	25608
837	18453	25587
838	18474	25564
839	18495	25540
840	18515	25516
841	18537	25495
842	18558	25471
843	18577	25445
844	18597	25419
845	18617	25396
846	18639	25373
847	18662	25352
848	18682	25328
849	18703	25304
850	18723	25280
851	18744	25256
852	18763	25230
853	18783	25206
854	18803	25181
855	18824	25157
856	18847	25137
857	18867	25112
858	18887	25087
859	18905	25061
860	18926	25036
861	18948	25015
862	18968	24991
863	18989	24967
864	19009	24943
865	19030	24920
866	19058	24905
867	19083	24887
868	19103	24862
869	19112	24824
870	19135	24804
871	19158	24782
872	19179	24759
873	19198	24734
874	19220	24711
875	19240	24687
876	19261	24663
877	19283	24642
878	19303	24617
879	19323	24593
880	19345	24571
881	19366	24548
882	19387	24525
883	19408	24501
884	19428	24478
885	19449	24454
886	19468	24428
887	19488	24404
888	19509	24381
889	19530	24357
890	19551	24335
891	19571	24310
892	19592	24287
893	19614	24265
894	19635	24243
895	19655	24217
896	19675	24193
897	19695	24169
898	19714	24144
899	19736	24121
900	19755	24097
901	19778	24076
902	19798	24052
903	19820	24029
904	19842	24007
905	19864	23986
906	19884	23962
907	19905	23939
908	19925	23915
909	19946	23892
910	19968	23869
911	19988	23845
912	20008	23822
913	20029	23798
914	20050	23776
915	20071	23752
916	20093	23730
917	20114	23707
918	20135	23685
919	20156	23661
920	20176	23638
921	20197	23614
922	20216	23589
923	20237	23566
924	20257	23542
925	20281	23522
926	20302	23499
927	20323	23477
928	20344	23454
929	20365	23430
930	20385	23407
931	20406	23384
932	20425	23359
933	20448	23338
934	20468	23314
935	20490	23292
936	20512	23270
937	20533	23247
938	20554	23225
939	20575	23202
940	20595	23178
941	20615	23153
942	20635	23129
943	20655	23106
944	20678	23085
945	20700	23063
946	20721	23040
947	20744	23020
948	20766	22998
949	20787	22975
950	20806	22950
951	20827	22927
952	20850	22907
953	20871	22883
954	20891	22860
955	20911	22835
956	20932	22813
957	20952	22789
958	20971	22764
959	20993	22743
960	21011	22717
961	21031	22693
962	21053	22670
963	21074	22648
964	21094	22624
965	21115	22601
966	21135	22577
967	21155	22554
968	21176	22530
969	21195	22507
970	21217	22484
971	21239	22462
972	21260	22440
973	21281	22417
974	21301	22393
975	21322	22371
976	21343	22348
977	21365	22326
978	21385	22302
979	21406	22280
980	21427	22257
981	21450	22237
982	21481	22224
983	21510	22209
984	21532	22188
985	21554	22166
986	21574	22142
987	21595	22119
988	21615	22096
989	21637	22075
990	21658	22051
991	21679	22029
992	21699	22005
993	21717	21979
994	21740	21958
995	21760	21934
996	21782	21913
997	21802	21890
998	21822	21866
999	21845	21845
1000	21866	21823
1001	21887	21800
1002	21906	21775
1003	21932	21758
1004	21954	21735
1005	21973	21711
1006	21994	21689
1007	22014	21665
1008	22035	21642
1009	22055	21619
1010	22075	21595
1011	22097	21573
1012	22118	21551
1013	22140	21528
1014	22160	21505
1015	22182	21483
1016	22203	21461
1017	22224	21438
1018	22247	21418
1019	22267	21394
1020	22287	21370
1021	22309	21348
1022	22331	21327
1023	22352	21304
1024	22373	21282
1025	22392	21257
1026	22414	21236
1027	22437	21215
